version,match_id,change_state,changed_fields,old_action,new_action,old_team,new_team,old_side,new_side,old_line,new_line,old_water,new_water,old_grade,new_grade,old_ev_mean,new_ev_mean,change_reason
V4_SHADOW,2962645,DIRECTION_OR_ACTION_CHANGED,"team,side,line,water,grade,ev_mean,ev_p10,p_ev_positive,status",,,,拉普拉塔大学生,neutral,receiving,,0.25,,1.05,,C,,0.023003472222222265,team;side;line;water;grade;ev_mean;ev_p10;p_ev_positive;status
V4_SHADOW,2966263,DIRECTION_OR_ACTION_CHANGED,"side,status",,,,,,neutral,,,,,,,,,side;status
V4_SHADOW,2966495,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,2967524,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,2967705,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,2967707,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,2967885,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,2967888,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,2968070,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,2968071,DIRECTION_OR_ACTION_CHANGED,"team,side,line,water,grade,ev_mean,ev_p10,p_ev_positive,status",,,,斯塔贝克B队,,receiving,,0.5,,0.7,,N,,-0.14514285714285718,team;side;line;water;grade;ev_mean;ev_p10;p_ev_positive;status
V4_SHADOW,2968072,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,2968250,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,2968255,DIRECTION_OR_ACTION_CHANGED,"team,side,line,water,grade,ev_mean,ev_p10,p_ev_positive,status",,,,康斯文格B队,,receiving,,0.75,,1.08,,C,,0.04783333333333334,team;side;line;water;grade;ev_mean;ev_p10;p_ev_positive;status
